Date,Open,High,Low,Close
26-Sep-03,,,,1521.29
29-Sep-03,,,,1544.96
30-Sep-03,,,,1561.88
01-Oct-03,,,,1571.67
03-Oct-03,,,,1603.22
06-Oct-03,,,,1634.86
07-Oct-03,,,,1629.14
08-Oct-03,,,,1632.01
09-Oct-03,,,,1669.27
10-Oct-03,,,,1662.29
13-Oct-03,,,,1682.24
14-Oct-03,,,,1649.06
15-Oct-03,,,,1650.9
16-Oct-03,,,,1665.67
17-Oct-03,,,,1664.33
20-Oct-03,,,,1641.89
21-Oct-03,,,,1597.97
22-Oct-03,,,,1579.89
23-Oct-03,,,,1576.93
24-Oct-03,,,,1599.01
27-Oct-03,,,,1611.85
28-Oct-03,,,,1594.76
29-Oct-03,,,,1590.63
30-Oct-03,,,,1609.65
31-Oct-03,,,,1632.74
03-Nov-03,,,,1644.36
04-Nov-03,,,,1639.82
05-Nov-03,,,,1661.83
06-Nov-03,,,,1711.39
07-Nov-03,,,,1739.43
10-Nov-03,,,,1795.95
11-Nov-03,,,,1846.94
12-Nov-03,,,,1870.21
13-Nov-03,,,,1826.83
14-Nov-03,,,,1787.93
17-Nov-03,,,,1872.42
18-Nov-03,,,,1882.34
19-Nov-03,,,,1856.15
20-Nov-03,,,,1837.55
21-Nov-03,,,,1824.41
24-Nov-03,,,,1869.35
25-Nov-03,,,,1904.18
27-Nov-03,,,,1949.97
28-Nov-03,,,,1973.77
01-Dec-03,,,,2026.71
02-Dec-03,,,,2032.17
03-Dec-03,,,,2088.48
04-Dec-03,,,,2115.66
05-Dec-03,,,,2113.57
08-Dec-03,,,,2174.59
09-Dec-03,,,,2267.28
10-Dec-03,,,,2270.69
11-Dec-03,,,,2262.24
12-Dec-03,,,,2280.38
15-Dec-03,,,,2333.29
16-Dec-03,,,,2311.34
17-Dec-03,,,,2331.55
18-Dec-03,,,,2391.9
19-Dec-03,,,,2397.62
22-Dec-03,,,,2432.93
23-Dec-03,,,,2410.85
24-Dec-03,,,,2442.26
26-Dec-03,,,,2482.89
29-Dec-03,,,,2527.68
30-Dec-03,,,,2456.44
31-Dec-03,,,,2432.74
01-Jan-04,,,,2481.95
02-Jan-04,,,,2522.81
05-Jan-04,,,,2490.73
06-Jan-04,,,,2420.94
07-Jan-04,,,,2384.29
08-Jan-04,,,,2476.17
09-Jan-04,,,,2445.38
12-Jan-04,,,,2401.75
13-Jan-04,,,,2408.23
14-Jan-04,,,,2442.13
15-Jan-04,,,,2412.59
16-Jan-04,,,,2339.77
19-Jan-04,,,,2325.04
20-Jan-04,,,,2276.54
21-Jan-04,,,,2101.96
22-Jan-04,,,,2025.42
23-Jan-04,,,,2145.73
27-Jan-04,,,,2209.11
28-Jan-04,,,,2161.92
29-Jan-04,,,,2142.11
30-Jan-04,,,,2068.03
03-Feb-04,,,,1956.6
04-Feb-04,,,,1980.08
05-Feb-04,,,,1978.56
06-Feb-04,,,,1966.2
09-Feb-04,,,,2010.6
10-Feb-04,,,,2014.49
11-Feb-04,,,,2013.34
12-Feb-04,,,,2019.6
13-Feb-04,,,,2071.5
16-Feb-04,,,,2108.24
17-Feb-04,,,,2095.01
18-Feb-04,,,,2092.99
19-Feb-04,,,,2026.41
20-Feb-04,,,,2022.08
23-Feb-04,,,,1976.69
24-Feb-04,,,,1972.27
25-Feb-04,,,,1943.9
26-Feb-04,,,,1937.3
27-Feb-04,,,,1931.23
01-Mar-04,,,,1957.65
03-Mar-04,,,,1965.43
04-Mar-04,,,,1949.57
05-Mar-04,,,,1954.92
08-Mar-04,,,,1964.65
09-Mar-04,,,,1939.59
10-Mar-04,,,,1924.58
11-Mar-04,,,,1901.15
12-Mar-04,,,,1889.49
15-Mar-04,,,,1833.37
16-Mar-04,,,,1794.9
17-Mar-04,,,,1802.03
18-Mar-04,,,,1776.86
19-Mar-04,,,,1764.32
22-Mar-04,,,,1704.24
23-Mar-04,,,,1674.76
24-Mar-04,,,,1675.19
25-Mar-04,,,,1714.27
26-Mar-04,,,,1754.78
29-Mar-04,,,,1788.2
30-Mar-04,,,,1825.9
31-Mar-04,,,,1844.83
01-Apr-04,,,,1915.9
02-Apr-04,,,,1935
05-Apr-04,,,,1968.13
06-Apr-04,,,,1938.32
07-Apr-04,,,,1936.09
08-Apr-04,,,,1960.9
12-Apr-04,,,,1981.21
13-Apr-04,,,,2000.5
15-Apr-04,,,,2019.38
16-Apr-04,,,,2047.19
19-Apr-04,,,,2067.64
20-Apr-04,,,,2067.26
21-Apr-04,,,,2107.34
22-Apr-04,,,,2137.6
23-Apr-04,,,,2135.66
27-Apr-04,,,,2026.32
28-Apr-04,,,,2037.63
29-Apr-04,,,,2052.12
30-Apr-04,,,,2073.25
03-May-04,,,,2013.02
04-May-04,,,,2078.76
05-May-04,,,,2094.92
06-May-04,,,,2143.43
07-May-04,,,,2126.01
10-May-04,,,,2104.43
11-May-04,,,,2011.36
12-May-04,,,,2020.04
13-May-04,,,,2042.53
14-May-04,,,,1885.05
17-May-04,,,,1695.69
18-May-04,,,,1794.65
19-May-04,,,,1868.89
20-May-04,,,,1876.46
21-May-04,,,,1868.44
24-May-04,,,,1932.97
25-May-04,,,,1927.79
26-May-04,,,,1933.2
27-May-04,,,,1915.69
28-May-04,,,,1829.41
31-May-04,,,,1770.2
01-Jun-04,,,,1788.27
02-Jun-04,,,,1796.34
03-Jun-04,,,,1764.12
04-Jun-04,,,,1760.3
07-Jun-04,,,,1781.52
08-Jun-04,,,,1778.32
09-Jun-04,,,,1791.91
10-Jun-04,,,,1805.51
11-Jun-04,,,,1785.46
14-Jun-04,,,,1739.06
15-Jun-04,,,,1750.01
16-Jun-04,,,,1740.83
