SlNo,Year,Month,Rainfall,YearMonth
480,1910,12,0,22932
481,1911,1,1,22933
482,1911,2,0,22934
483,1911,3,95,22935
484,1911,4,296,22936
485,1911,5,1251,22937
486,1911,6,1280,22938
487,1911,7,1666,22939
488,1911,8,615,22940
489,1911,9,567,22941
490,1911,10,1648,22942
491,1911,11,375,22943
492,1911,12,79,22944
493,1912,1,4,22945
494,1912,2,53,22946
495,1912,3,86,22947
496,1912,4,364,22948
497,1912,5,750,22949
498,1912,6,1063,22950
499,1912,7,1956,22951
500,1912,8,1321,22952
501,1912,9,1863,22953
502,1912,10,1840,22954
503,1912,11,547,22955
504,1912,12,0,22956
505,1913,1,0,22957
506,1913,2,0,22958
507,1913,3,11,22959
508,1913,4,197,22960
509,1913,5,969,22961
510,1913,6,803,22962
511,1913,7,1836,22963
512,1913,8,572,22964
513,1913,9,1616,22965
514,1913,10,1030,22966
515,1913,11,12,22967
516,1913,12,30,22968
517,1914,1,1,22969
518,1914,2,12,22970
519,1914,3,22,22971
520,1914,4,222,22972
521,1914,5,555,22973
522,1914,6,482,22974
523,1914,7,1858,22975
524,1914,8,1171,22976
525,1914,9,1080,22977
526,1914,10,1211,22978
527,1914,11,673,22979
528,1914,12,178,22980
529,1915,1,155,22981
530,1915,2,12,22982
531,1915,3,420,22983
532,1915,4,400,22984
533,1915,5,801,22985
534,1915,6,1933,22986
535,1915,7,1403,22987
536,1915,8,584,22988
537,1915,9,1658,22989
538,1915,10,920,22990
539,1915,11,1060,22991
540,1915,12,126,22992
541,1916,1,0,22993
542,1916,2,0,22994
543,1916,3,0,22995
544,1916,4,202,22996
545,1916,5,1521,22997
546,1916,6,1168,22998
547,1916,7,1773,22999
548,1916,8,1650,23000
549,1916,9,1373,23001
550,1916,10,1791,23002
551,1916,11,1393,23003
552,1916,12,74,23004
553,1917,1,4,23005
554,1917,2,410,23006
555,1917,3,177,23007
556,1917,4,165,23008
557,1917,5,714,23009
558,1917,6,1045,23010
559,1917,7,693,23011
560,1917,8,1558,23012
561,1917,9,2393,23013
562,1917,10,1488,23014
563,1917,11,779,23015
564,1917,12,29,23016
565,1918,1,220,23017
566,1918,2,6,23018
567,1918,3,211,23019
568,1918,4,394,23020
569,1918,5,933,23021
570,1918,6,395,23022
571,1918,7,427,23023
572,1918,8,694,23024
573,1918,9,1124,23025
574,1918,10,440,23026
575,1918,11,1833,23027
576,1918,12,133,23028
577,1919,1,61,23029
578,1919,2,0,23030
579,1919,3,56,23031
580,1919,4,248,23032
581,1919,5,1084,23033
582,1919,6,1236,23034
583,1919,7,1303,23035
584,1919,8,789,23036
585,1919,9,2181,23037
586,1919,10,709,23038
587,1919,11,1661,23039
588,1919,12,60,23040
589,1920,1,83,23041
590,1920,2,15,23042
591,1920,3,20,23043
592,1920,4,392,23044
593,1920,5,656,23045
594,1920,6,948,23046
595,1920,7,1355,23047
596,1920,8,906,23048
597,1920,9,1425,23049
598,1920,10,1103,23050
599,1920,11,362,23051
600,1920,12,0,23052
601,1921,1,156,23053
602,1921,2,0,23054
603,1921,3,27,23055
604,1921,4,884,23056
605,1921,5,532,23057
606,1921,6,830,23058
607,1921,7,1571,23059
608,1921,8,1216,23060
609,1921,9,685,23061
610,1921,10,1761,23062
611,1921,11,775,23063
612,1921,12,3,23064
613,1922,1,93,23065
614,1922,2,8,23066
615,1922,3,2,23067
616,1922,4,292,23068
617,1922,5,1075,23069
